,year,adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,genres,budget,revenue,best_picture_winner
177,2016,False,290098,ko,아가씨,"1930s Korea, in the period of Japanese occupation, a new girl, Sookee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to steal her fortune.",11.5986,2016-06-01,the handmaiden,8.2,4083,"[""'Thriller'"", "" 'Drama'"", "" 'Romance'""]",8575000,38600000,False
178,2016,False,345911,en,Lights Out,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",2.7233,2016-07-21,lights out,6.365,4013,"[""'Horror'""]",4900000,149368835,False
179,2016,False,270487,en,"Hail, Caesar!","When a Hollywood star mysteriously disappears in the middle of filming, the studio sends their fixer to get him back.",6.6645,2016-02-05,"hail, caesar!",5.9,3902,"[""'Comedy'"", "" 'Crime'"", "" 'Drama'"", "" 'Mystery'""]",22000000,63647656,False
180,2016,False,321258,en,The Boy,"A young American woman takes a job as a nanny in a remote English village, soon discovering that the family's eight-year-old son is a life-sized doll that comes with a list of strict rules.",2.6172,2016-01-22,the boy,6.0,3859,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",10000000,73929392,False
181,2016,False,153518,en,The Angry Birds Movie,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.",5.9775,2016-05-11,the angry birds movie,6.246,3843,"[""'Animation'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Family'""]",73000000,349779543,False
182,2016,False,301365,en,The Neon Demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",4.2682,2016-05-31,the neon demon,6.51,3840,"[""'Horror'"", "" 'Thriller'""]",7000000,3400000,False
183,2016,False,346672,en,Underworld: Blood Wars,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",5.3381,2016-11-24,underworld: blood wars,5.911,3823,"[""'Fantasy'"", "" 'Action'"", "" 'Thriller'"", "" 'Science Fiction'"", "" 'Horror'""]",35000000,81093313,False
184,2016,False,300671,en,13 Hours: The Secret Soldiers of Benghazi,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,6.5002,2016-01-14,13 hours: the secret soldiers of benghazi,7.269,3789,"[""'War'"", "" 'Action'"", "" 'History'"", "" 'Drama'"", "" 'Thriller'""]",50000000,69411370,False
185,2016,False,136799,en,Trolls,"After the monstrous Bergens invade Troll Village, Princess Poppy, the happiest Troll ever born, and overly-cautious, curmudgeonly outcast Branch set off on a journey to rescue her friends. Their mission is full of adventure and mishaps, as this mismatched duo try to tolerate each other long enough to get the job done.",8.6298,2016-10-13,trolls,6.63,3724,"[""'Family'"", "" 'Animation'"", "" 'Fantasy'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Music'""]",125000000,347337803,False
186,2016,False,313297,en,Kubo and the Two Strings,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",5.5255,2016-08-18,kubo and the two strings,7.631,3705,"[""'Animation'"", "" 'Adventure'"", "" 'Family'""]",60000000,76249438,False
187,2016,False,308531,en,Teenage Mutant Ninja Turtles: Out of the Shadows,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",4.3312,2016-06-01,teenage mutant ninja turtles: out of the shadows,6.051,3673,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Family'"", "" 'Science Fiction'""]",135000000,245623848,False
188,2016,False,347031,en,Swiss Army Man,"Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams.",2.1628,2016-06-24,swiss army man,6.926,3662,"[""'Comedy'"", "" 'Drama'"", "" 'Romance'"", "" 'Fantasy'"", "" 'Adventure'""]",3000000,5800000,False
189,2016,False,278924,en,Mechanic: Resurrection,"Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents.",5.6961,2016-08-25,mechanic: resurrection,6.029,3520,"[""'Action'"", "" 'Crime'"", "" 'Thriller'""]",40000000,125729635,False
190,2016,False,267935,en,The BFG,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",8.1405,2016-06-01,the bfg,6.3,3518,"[""'Adventure'"", "" 'Family'"", "" 'Fantasy'""]",140000000,195243411,False
191,2016,False,258230,en,A Monster Calls,12-year-old Conor encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.,3.4982,2016-10-07,a monster calls,7.287,3471,"[""'Fantasy'"", "" 'Adventure'"", "" 'Family'""]",43000000,47309313,False
192,2016,False,173897,en,Resident Evil: The Final Chapter,"Picking up immediately after the events in Resident Evil: Retribution, Alice is the only survivor of what was meant to be humanity's final stand against the undead. Now, she must return to where the nightmare began - The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",0.3047,2016-12-23,resident evil: the final chapter,6.11,3357,"[""'Action'"", "" 'Horror'"", "" 'Science Fiction'""]",40000000,312242626,False
193,2016,False,393519,fr,Grave,"In Justine's family everyone is a vet and a vegetarian. At 16, she's a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form.",3.3463,2016-11-11,raw,7.04,3323,"[""'Horror'"", "" 'Drama'""]",3500000,4100000,False
194,2016,False,259694,en,How to Be Single,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",4.0902,2016-02-08,how to be single,6.255,3281,"[""'Comedy'"", "" 'Romance'""]",38000000,112343513,False
195,2016,False,68730,en,Silence,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",3.0893,2016-12-23,silence,7.12,3184,"[""'Drama'"", "" 'History'""]",46000000,23834809,False
196,2016,False,303858,en,Money Monster,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,3.8871,2016-05-12,money monster,6.435,3066,"[""'Thriller'"", "" 'Drama'""]",27000000,93282604,False
